Z^2;;;p-value;;;
0;;;> 0.50;;;
0,45;> 0.50;;> 0.50;;;
0,454936423;0,5;;0,500;;;
0,455148712;0,4999;;0,500;;;
0,455361073;0,4998;;0,500;;;
0,455573506;0,4997;;0,500;;;
0,455786011;0,4996;;0,500;;;
0,455998588;0,4995;;0,500;;;
0,456211238;0,4994;;0,499;;;
0,456423959;0,4993;;0,499;;;
0,456636753;0,4992;;0,499;;;
0,456849619;0,4991;;0,499;;;
0,457062558;0,499;;0,499;;;
0,457275568;0,4989;;0,499;;;
0,457488651;0,4988;;0,499;;;
0,457701807;0,4987;;0,499;;;
0,457915034;0,4986;;0,499;;;
0,458128334;0,4985;;0,499;;;
0,458341707;0,4984;;0,498;;;
0,458555152;0,4983;;0,498;;;
0,458768669;0,4982;;0,498;;;
0,458982259;0,4981;;0,498;;;
0,459195922;0,498;;0,498;;;
0,459409657;0,4979;;0,498;;;
0,459623465;0,4978;;0,498;;;
0,459837345;0,4977;;0,498;;;
0,460051298;0,4976;;0,498;;;
0,460265324;0,4975;;0,498;;;
0,460479422;0,4974;;0,497;;;
0,460693593;0,4973;;0,497;;;
0,460907836;0,4972;;0,497;;;
0,461122153;0,4971;;0,497;;;
0,461336542;0,497;;0,497;;;
0,461551004;0,4969;;0,497;;;
0,461765539;0,4968;;0,497;;;
0,461980147;0,4967;;0,497;;;
0,462194828;0,4966;;0,497;;;
0,462409582;0,4965;;0,497;;;
0,462624408;0,4964;;0,496;;;
0,462839308;0,4963;;0,496;;;
0,46305428;0,4962;;0,496;;;
0,463269326;0,4961;;0,496;;;
0,463484445;0,496;;0,496;;;
0,463699636;0,4959;;0,496;;;
0,463914901;0,4958;;0,496;;;
0,464130239;0,4957;;0,496;;;
0,46434565;0,4956;;0,496;;;
0,464561135;0,4955;;0,496;;;
0,464776692;0,4954;;0,495;;;
0,464992323;0,4953;;0,495;;;
0,465208027;0,4952;;0,495;;;
0,465423805;0,4951;;0,495;;;
0,465639655;0,495;;0,495;;;
0,46585558;0,4949;;0,495;;;
0,466071577;0,4948;;0,495;;;
0,466287648;0,4947;;0,495;;;
0,466503792;0,4946;;0,495;;;
0,46672001;0,4945;;0,495;;;
0,466936301;0,4944;;0,494;;;
0,467152666;0,4943;;0,494;;;
0,467369104;0,4942;;0,494;;;
0,467585616;0,4941;;0,494;;;
0,467802201;0,494;;0,494;;;
0,46801886;0,4939;;0,494;;;
0,468235593;0,4938;;0,494;;;
0,468452399;0,4937;;0,494;;;
0,468669279;0,4936;;0,494;;;
0,468886233;0,4935;;0,494;;;
0,469103261;0,4934;;0,493;;;
0,469320362;0,4933;;0,493;;;
0,469537537;0,4932;;0,493;;;
0,469754786;0,4931;;0,493;;;
0,469972109;0,493;;0,493;;;
0,470189506;0,4929;;0,493;;;
0,470406976;0,4928;;0,493;;;
0,470624521;0,4927;;0,493;;;
0,470842139;0,4926;;0,493;;;
0,471059832;0,4925;;0,493;;;
0,471277598;0,4924;;0,492;;;
0,471495439;0,4923;;0,492;;;
0,471713354;0,4922;;0,492;;;
0,471931342;0,4921;;0,492;;;
0,472149405;0,492;;0,492;;;
0,472367542;0,4919;;0,492;;;
0,472585754;0,4918;;0,492;;;
0,472804039;0,4917;;0,492;;;
0,473022399;0,4916;;0,492;;;
0,473240833;0,4915;;0,492;;;
0,473459341;0,4914;;0,491;;;
0,473677923;0,4913;;0,491;;;
0,47389658;0,4912;;0,491;;;
0,474115312;0,4911;;0,491;;;
0,474334117;0,491;;0,491;;;
0,474552997;0,4909;;0,491;;;
0,474771952;0,4908;;0,491;;;
0,474990981;0,4907;;0,491;;;
0,475210085;0,4906;;0,491;;;
0,475429263;0,4905;;0,491;;;
0,475648515;0,4904;;0,490;;;
0,475867843;0,4903;;0,490;;;
0,476087245;0,4902;;0,490;;;
0,476306721;0,4901;;0,490;;;
0,476526272;0,49;;0,490;;;
0,476745898;0,4899;;0,490;;;
0,476965599;0,4898;;0,490;;;
0,477185374;0,4897;;0,490;;;
0,477405225;0,4896;;0,490;;;
0,47762515;0,4895;;0,490;;;
0,477845149;0,4894;;0,489;;;
0,478065224;0,4893;;0,489;;;
0,478285374;0,4892;;0,489;;;
0,478505598;0,4891;;0,489;;;
0,478725898;0,489;;0,489;;;
0,478946272;0,4889;;0,489;;;
0,479166722;0,4888;;0,489;;;
0,479387246;0,4887;;0,489;;;
0,479607846;0,4886;;0,489;;;
0,479828521;0,4885;;0,489;;;
0,48004927;0,4884;;0,488;;;
0,480270095;0,4883;;0,488;;;
0,480490995;0,4882;;0,488;;;
0,480711971;0,4881;;0,488;;;
0,480933021;0,488;;0,488;;;
0,481154147;0,4879;;0,488;;;
0,481375348;0,4878;;0,488;;;
0,481596625;0,4877;;0,488;;;
0,481817976;0,4876;;0,488;;;
0,482039404;0,4875;;0,488;;;
0,482260906;0,4874;;0,487;;;
0,482482484;0,4873;;0,487;;;
0,482704137;0,4872;;0,487;;;
0,482925866;0,4871;;0,487;;;
